stateEstimate.x_y		stateEstimate.y_y		stateEstimate.z_y
2.082684279		1.985214114		0.52166599
2.094964027		1.984583974		0.522255242
2.102901697		1.992334127		0.522611439
2.112539291		1.994543672		0.523539126
2.125974894		1.991998553		0.524354339
2.130998373		1.993414402		0.525134504
2.125522375		1.998769045		0.524996638
2.125643253		2.00078702		0.525126874
2.126079559		2.002878428		0.525764883
2.119961977		2.007567167		0.527513683
2.116188526		2.018399715		0.526547849
2.122246742		2.026297331		0.525767505
2.112050057		2.022028685		0.524053991
2.094551086		2.016562462		0.523426175
2.085428476		2.015436888		0.521961331
2.070991993		2.014178276		0.521189213
2.059851646		2.011279583		0.52021724
2.054608345		2.010517359		0.519948661
2.05000329		2.002078056		0.519840419
2.050842762		1.997442246		0.520124137
2.042263269		1.993417501		0.52114296
2.039283991		1.990026116		0.522815049
2.022576094		1.983899474		0.523231149
2.031682253		1.985238314		0.523723364
2.037032843		1.986737728		0.524236739
2.038118839		1.984346986		0.524595618
2.038146496		1.987007976		0.524924934
2.044513702		1.984556794		0.523757696
2.04775095		1.983110666		0.522266567
2.054257393		1.989926338		0.520735622
2.039799213		1.963887453		0.519910514
2.050629139		1.967125893		0.518541992
2.057469845		1.970286727		0.517770052
2.073961735		1.973567128		0.516602159
2.094672203		1.975810647		0.51599896
2.095249176		1.978955984		0.515324771
2.110224485		1.977482796		0.515165627
2.114524365		1.976365805		0.51545018
2.122260332		1.97782588		0.515156925
2.124641895		1.98702836		0.516210794
2.133750439		1.989522934		0.516131818
2.142913818		1.997605443		0.517003954
2.152282476		1.99923873		0.517978847
2.163082361		2.005800009		0.518823266
2.167906761		2.010261297		0.517521799
2.17711854		2.018143654		0.518813431
2.176331043		2.025081396		0.5184654
2.182334423		2.031476975		0.518582165
2.181294441		2.03298521		0.5194273
2.175379753		2.041760683		0.519337952
2.178633213		2.04436326		0.520947754
2.171545029		2.057555199		0.519479454
2.159900188		2.058159113		0.519581854
2.158776999		2.061122417		0.519217134
2.166289091		2.067835093		0.518754065
2.160919666		2.06760025		0.517249405
2.155107498		2.063323975		0.516119361
2.148119211		2.057761192		0.514465392
2.143247843		2.055693626		0.512922347
2.134016752		2.062845945		0.512588739
2.14237833		2.067293644		0.512452066
2.139510632		2.068828106		0.511648297
2.136670589		2.071166039		0.51019907
2.141932726		2.077609778		0.510304511
2.152472019		2.079651833		0.50971669
